name	tissue group
Adipocytes	endocrine & exocrine
Alveolar cells type 1	respiratory
Alveolar cells type 2	respiratory
Astrocytes	brain, eye & retina
B-cells	blood & immune
Basal keratinocytes	epidermis
Basal prostatic cells	female/male
Basal respiratory cells	respiratory
Basal squamous epithelial cells	epidermis
Bipolar cells	brain, eye & retina
Breast glandular cells	female/male
Breast myoepithelial cells	female/male
Cardiomyocytes	heart
Cholangiocytes	gastrointestinal
Club cells	respiratory
Collecting duct cells	kidney & bladder
Cone photoreceptor cells	brain, eye & retina
Cytotrophoblasts	female/male
dendritic cells	blood & immune
Distal enterocytes	gastrointestinal
Distal tubular cells	kidney & bladder
Ductal cells	gastrointestinal
Early spermatids	female/male
Endometrial ciliated cells	female/male
Endometrial stromal cells	female/male
Endothelial cells	blood & immune
Enteroendocrine cells	gastrointestinal
Erythroid cells	blood & immune
Excitatory neurons	brain, eye & retina
Exocrine glandular cells	endocrine & exocrine
Extravillous trophoblasts	female/male
Fibroblasts	ECM
Gastric mucus-secreting cells	gastrointestinal
Glandular and luminal cells	female/male
granulocytes	blood & immune
Granulosa cells	female/male
Hepatic stellate cells	liver
Hepatocytes	liver
Hofbauer cells	female/male
Horizontal cells	brain, eye & retina
Inhibitory neurons	brain, eye & retina
Intestinal goblet cells	gastrointestinal
Ionocytes	respiratory
Kupffer cells	liver
Langerhans cells	blood & immune
Late spermatids	female/male
Leydig cells	female/male
Macrophages	blood & immune
Melanocytes	epithelium
Microglial cells	brain, eye & retina
monocytes	blood & immune
Muller glia cells	brain, eye & retina
NK-cells	blood & immune
Oligodendrocyte precursor cells	brain, eye & retina
Oligodendrocytes	brain, eye & retina
Pancreatic endocrine cells	endocrine & exocrine
Paneth cells	gastrointestinal
Peritubular cells	female/male
Plasma cells	blood & immune
Prostatic glandular cells	female/male
Proximal enterocytes	gastrointestinal
Proximal tubular cells	kidney & bladder
Respiratory ciliated cells	respiratory
Rod photoreceptor cells	brain, eye & retina
Sertoli cells	female/male
Skeletal myocytes	muscle
Smooth muscle cells	blood & immune
Spermatocytes	female/male
Spermatogonia	female/male
Squamous epithelial cells	epithelium
Suprabasal keratinocytes	epidermis
Syncytiotrophoblasts	epithelium
T-cells	blood & immune
Theca cells	female/male
Undifferentiated cells	
Urothelial cells	kidney & bladder
